PARAMETER,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,Mean
PRECTOTCORR_SUM,23.75,-9.25,21.09,22.15,13.18,1.05,10.02,26.89,12.66,242.58,304.8,141.33,25.84,50.62,872.23,72.68416666666668
PRECTOTCORR_SUM,23.75,-9.75,27.42,26.89,10.02,0.0,8.96,29.0,12.13,241.0,315.35,162.95,27.95,47.99,909.67,75.805
PRECTOTCORR_SUM,24.25,-10.25,47.99,32.17,16.35,2.64,7.38,27.42,22.68,235.2,336.45,261.56,40.61,67.5,1097.93,91.49583333333332
PRECTOTCORR_SUM,24.25,-10.75,46.93,30.06,18.46,2.11,3.16,30.06,12.66,235.2,365.98,281.07,42.71,73.83,1142.23,95.18583333333333
PRECTOTCORR_SUM,24.25,-11.25,55.37,34.28,39.55,0.0,5.27,34.28,10.55,216.21,427.15,340.14,44.82,73.83,1281.45,106.78749999999998
PRECTOTCORR_SUM,24.25,-11.75,49.04,32.17,37.44,0.0,3.16,32.17,12.66,220.43,376.52,371.78,51.15,82.27,1268.79,105.7325
PRECTOTCORR_SUM,24.25,-12.25,71.19,34.8,44.82,0.0,5.8,47.46,8.44,202.5,387.6,374.94,49.57,81.21,1308.34,109.02749999999999
PRECTOTCORR_SUM,24.25,-12.75,94.39,31.64,49.04,4.22,14.24,69.61,6.33,205.66,369.67,382.32,45.35,88.59,1361.07,113.42166666666664
PRECTOTCORR_SUM,24.25,-13.25,102.83,25.84,52.21,13.18,22.68,80.68,6.86,216.74,304.8,396.04,40.08,104.94,1366.88,113.90666666666665
PRECTOTCORR_SUM,24.25,-13.75,92.29,34.28,71.19,23.73,18.46,55.37,2.64,166.11,247.85,387.6,31.64,113.38,1244.53,103.71166666666666
PRECTOTCORR_SUM,24.25,-14.25,109.16,55.37,109.16,32.17,18.46,27.95,6.86,172.44,241.52,315.88,35.86,153.46,1278.28,106.52416666666664
PRECTOTCORR_SUM,24.25,-14.75,116.54,65.39,131.31,35.86,21.62,16.35,11.07,166.11,260.51,278.96,40.08,191.95,1335.76,111.3125
PRECTOTCORR_SUM,24.25,-15.25,128.14,72.77,133.42,39.02,23.73,8.96,10.02,130.25,257.34,252.6,44.3,211.99,1312.56,109.37833333333332
PRECTOTCORR_SUM,24.25,-15.75,155.57,81.21,124.45,40.61,22.15,2.11,5.27,79.63,207.77,225.18,46.93,210.41,1201.29,100.1075
PRECTOTCORR_SUM,24.25,-16.25,208.3,89.65,126.56,34.28,15.82,0.0,5.27,60.64,110.74,197.75,44.82,197.75,1091.6,90.96500000000002
PRECTOTCORR_SUM,24.25,-16.75,233.61,83.32,122.34,27.95,15.82,0.0,1.05,56.43,81.21,168.22,49.04,191.43,1030.43,85.86833333333334
PRECTOTCORR_SUM,24.25,-7.25,39.02,20.04,34.8,17.4,21.09,18.98,34.28,308.5,339.61,191.43,59.06,50.1,1134.32,94.52583333333332
PRECTOTCORR_SUM,24.25,-7.75,34.8,24.26,29.53,11.07,20.04,17.93,26.89,263.14,333.28,182.99,52.73,45.88,1042.56,86.87833333333333
PRECTOTCORR_SUM,24.25,-8.25,37.97,28.48,26.89,8.96,18.98,18.98,18.98,236.78,326.95,188.26,56.95,53.26,1021.46,85.12
PRECTOTCORR_SUM,24.25,-8.75,31.64,26.37,29.0,13.18,21.09,10.55,31.64,213.57,326.95,171.39,42.19,44.82,962.4,80.19916666666667
PRECTOTCORR_SUM,24.25,-9.25,48.52,39.02,29.0,6.86,16.88,25.31,23.2,205.14,318.52,207.25,46.41,61.7,1027.79,85.65083333333332
PRECTOTCORR_SUM,24.25,-9.75,51.15,37.44,22.68,3.69,12.66,27.42,25.84,220.43,322.73,241.52,42.71,64.34,1072.62,89.38416666666667
PRECTOTCORR_SUM,24.75,-10.25,72.25,57.48,36.91,5.27,17.93,25.31,27.42,251.54,350.16,351.21,76.46,108.63,1380.59,115.04750000000001
PRECTOTCORR_SUM,24.75,-10.75,69.61,46.41,33.75,5.8,13.18,33.22,22.15,245.21,351.21,356.48,67.5,110.74,1355.27,112.93833333333333
PRECTOTCORR_SUM,24.75,-11.25,84.38,52.73,52.73,7.91,13.18,39.55,26.37,213.57,437.7,390.23,63.28,100.2,1481.84,123.48583333333333
PRECTOTCORR_SUM,24.75,-11.75,80.16,48.52,71.72,5.8,11.07,39.55,32.7,278.96,374.41,451.41,61.17,112.85,1568.32,130.69333333333336
PRECTOTCORR_SUM,24.75,-12.25,104.41,56.95,73.3,8.44,18.46,52.21,31.11,271.58,442.44,433.48,68.55,108.11,1669.04,139.08666666666667
PRECTOTCORR_SUM,24.75,-12.75,137.11,61.17,78.57,14.77,33.22,68.03,25.84,301.11,481.46,434.53,75.94,117.6,1829.36,152.44583333333333
PRECTOTCORR_SUM,24.75,-13.25,153.98,59.59,93.87,24.26,43.24,71.72,16.88,336.45,417.13,459.32,78.05,143.96,1898.44,158.20416666666665
PRECTOTCORR_SUM,24.75,-13.75,126.56,65.92,110.74,36.91,26.37,42.19,0.0,205.66,261.04,419.24,73.83,160.84,1529.3,127.44166666666666
PRECTOTCORR_SUM,24.75,-14.25,147.66,76.46,150.82,45.35,20.04,16.88,10.55,193.01,235.72,307.44,65.39,177.71,1447.03,120.58583333333335
PRECTOTCORR_SUM,24.75,-14.75,167.17,87.01,162.42,52.21,23.2,7.38,19.51,170.86,235.72,243.11,69.61,200.92,1439.12,119.92666666666668
PRECTOTCORR_SUM,24.75,-15.25,181.93,95.45,156.09,56.43,25.31,3.16,23.73,132.89,230.45,208.3,73.83,215.68,1403.26,116.9375
PRECTOTCORR_SUM,24.75,-15.75,199.34,101.78,142.38,55.9,22.68,1.05,22.15,89.65,197.23,186.15,70.66,219.38,1308.34,109.02916666666665
PRECTOTCORR_SUM,24.75,-16.25,237.3,108.11,131.84,47.46,18.46,5.27,15.82,68.55,121.29,160.84,58.01,221.48,1194.43,99.53583333333334
PRECTOTCORR_SUM,24.75,-16.75,268.95,110.21,121.29,45.35,29.0,5.27,7.38,72.77,95.98,154.51,81.21,234.14,1226.07,102.17166666666667
PRECTOTCORR_SUM,24.75,-7.25,76.99,35.86,61.17,27.42,30.59,17.93,33.22,249.43,376.0,299.53,91.76,53.79,1353.69,112.80749999999999
PRECTOTCORR_SUM,24.75,-7.75,74.88,43.24,53.79,18.98,34.8,17.93,23.73,212.52,361.23,284.77,83.32,59.06,1268.26,105.68749999999999
PRECTOTCORR_SUM,24.75,-8.25,73.83,50.62,47.99,15.82,32.17,19.51,17.93,198.81,337.5,318.52,84.9,78.05,1275.64,106.30416666666667
PRECTOTCORR_SUM,24.75,-8.75,63.28,42.19,50.1,15.82,34.28,13.18,26.37,181.93,337.5,263.67,65.92,52.73,1146.97,95.58083333333333
PRECTOTCORR_SUM,24.75,-9.25,80.16,65.39,54.32,11.6,27.95,19.51,28.48,186.15,350.16,301.64,72.25,86.48,1284.08,107.00750000000001
PRECTOTCORR_SUM,24.75,-9.75,79.63,68.03,47.46,7.38,23.2,21.09,30.59,225.18,359.65,336.45,78.57,101.25,1378.48,114.87333333333333
PRECTOTCORR_SUM,25.25,-10.25,75.41,74.36,54.84,15.29,27.95,20.57,20.57,195.12,343.3,357.54,118.12,132.36,1435.43,119.61916666666669
PRECTOTCORR_SUM,25.25,-10.75,81.21,75.41,64.86,20.57,27.95,33.22,23.73,209.88,364.92,376.0,111.27,149.24,1538.26,128.18833333333333
PRECTOTCORR_SUM,25.25,-11.25,110.74,92.29,92.29,29.0,34.28,39.55,23.73,205.66,464.06,392.87,102.83,134.47,1721.78,143.48083333333335
PRECTOTCORR_SUM,25.25,-11.75,102.3,83.85,90.18,26.89,32.17,43.77,32.17,300.59,419.77,445.61,88.07,147.13,1812.48,151.04166666666666
